URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/new-york-boiler-cleaning/7140692158.html,Boiler Cleaning,New York City
https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-high-end/7140584602.html,Project Architect - High End Residential,Upper West Side
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-engineer-recent/7140383164.html,Project Engineer - Recent College Graduate,"Brooklyn, NY"
https://newyork.craigslist.org/que/egr/d/jamaica-project-architects/7140006512.html,Project Architect(s),Queens
https://newyork.craigslist.org/que/egr/d/brooklyn-drafter/7139795380.html,Drafter,Ridgewood
https://newyork.craigslist.org/que/egr/d/long-island-city-engineer/7139792789.html,ENGINEER,
https://newyork.craigslist.org/que/egr/d/estimator/7139790458.html,Estimator,Long Island City
https://newyork.craigslist.org/brk/egr/d/brooklyn-entry-level-project-engineer/7139785471.html,Entry Level Project Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-expediting-permit-project/7139756771.html,NYC Expediting/Permit Project Manager,Financial District
https://newyork.craigslist.org/jsy/egr/d/cranford-drafter-engineer-concrete/7139166697.html,"Drafter/Engineer Concrete Formwork, Shoring, Equipment, Similar",Manhattan/Cranford NJ
https://newyork.craigslist.org/brx/egr/d/bronx-estimator-drafter/7139130976.html,Estimator/Drafter,Bronx
https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager-electrical/7138998393.html,Project Manager - Electrical / Data Construction - Large Firm,new york city
https://newyork.craigslist.org/lgi/egr/d/hauppauge-maintenance-mechanic/7138550009.html,Maintenance Mechanic,Hauppauge
https://newyork.craigslist.org/fct/egr/d/norwalk-intermediate-interior-designer/7138412583.html,Intermediate Interior Designer/ Architect,Norwalk
https://newyork.craigslist.org/brk/egr/d/brooklyn-dob-licensed-superintendent/7138254874.html,DOB LICENSED SUPERINTENDENT 100k-120k year/DOB LICENSE REQUIRED,
https://newyork.craigslist.org/brk/egr/d/architectural-drafter/7137992096.html,Architectural Drafter,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-pe-or-eit/7137967033.html,Structural Engineer P.E. or E.I.T.,
https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator/7137850029.html,Estimator,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-mechanical-engineer/7137410856.html,Relocation: Mechanical Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-electrical-engineer/7137410237.html,Relocation: Electrical Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-firmware-engineer/7137409453.html,Relocation: Firmware Engineer,
https://newyork.craigslist.org/jsy/egr/d/west-orange-chief-architect-experience/7136904449.html,Chief Architect experience wanted,
https://newyork.craigslist.org/que/egr/d/astoria-3d-draftsman-for-revit-cad/7136536511.html,"3D Draftsman for Revit cad mechanical, plumbing, fire suppression",Astoria
https://newyork.craigslist.org/brk/egr/d/stottville-designer-draftsperson/7136509622.html,Designer - Draftsperson,Ghent
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-for-high-end/7136425552.html,Architect for High End Residential Firm,Chelsea
https://newyork.craigslist.org/mnh/egr/d/new-york-estimator-needed-for/7136397132.html,ESTIMATOR NEEDED FOR CONSTRUCTION COMPANY,Greenwich Village
https://newyork.craigslist.org/brk/egr/d/brooklyn-junior-architect-drafter/7135944116.html,Junior Architect / Drafter,brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-landscape-designer/7135784289.html,Junior Landscape Designer,"NewYork, NY"
https://newyork.craigslist.org/lgi/egr/d/roslyn-heights-junior-construction/7135668974.html,Junior Construction Estimator,Roslyn Heights
https://newyork.craigslist.org/que/egr/d/jamaica-project-architects/7134844128.html,Project Architect(s),Queens
https://newyork.craigslist.org/que/egr/d/astoria-expeditor-for-plumbing-heating/7134000147.html,Expeditor For Plumbing & Heating Office,Astoria
https://newyork.craigslist.org/que/egr/d/richmond-hill-expediter-dob-and-dob-now/7133895420.html,expediter/ dob and dob now,richmondhill
https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/7133893801.html,experienced architect/drafter,richmondhill
https://newyork.craigslist.org/fct/egr/d/wilton-landscape-designer-architect/7133854555.html,Landscape Designer / Architect,"Wilton, CT"
https://newyork.craigslist.org/que/egr/d/long-island-city-general-superintendent/7133767598.html,General Superintendent for Steel and Concrete Company,
https://newyork.craigslist.org/fct/egr/d/new-canaan-landscape-architect-designer/7132924096.html,Landscape Architect / Designer and Sales Professional,New Canaan
https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/7132546709.html,HVAC Drafter,
https://newyork.craigslist.org/jsy/egr/d/princeton-senior-interior-designer/7132037062.html,Senior Interior Designer,"Princeton, NJ"
https://newyork.craigslist.org/que/egr/d/queens-village-resaturant-design/7131899205.html,Resaturant Design Decorator,Bellerose Queens
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager/7131894058.html,Project Manager,BROOKLYN
https://newyork.craigslist.org/que/egr/d/hollis-experienced-structural-soe/7131887895.html,Experienced Structural/SOE Engineer/Draftsman(Part-time),Queens
https://newyork.craigslist.org/fct/egr/d/greenwich-survey-technician/7131827269.html,Survey Technician,"Greenwich, CT"
https://newyork.craigslist.org/jsy/egr/d/newark-hiring-now-civil-designer/7131733531.html,HIRING NOW: CIVIL DESIGNER,NEWARK
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-nys-pe/7131580770.html,STRUCTURAL ENGINEER NYS PE,BROOKLYN
https://newyork.craigslist.org/que/egr/d/long-island-city-cad-operator-drafter/7131381989.html,CAD Operator / Drafter,Long Island City
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-pe-or-eit/7131147545.html,Structural Engineer P.E. or E.I.T.,
https://newyork.craigslist.org/mnh/egr/d/new-york-licensed-structural-engineer/7130870528.html,Licensed Structural Engineer PE (NY),TriBeCa
https://newyork.craigslist.org/que/egr/d/ozone-park-expediting-firm-class-1-or-2/7130743001.html,Expediting Firm Class 1 or 2 Filing Rep (All Boroughs),
https://newyork.craigslist.org/brk/egr/d/architectural-drafter/7130726227.html,Architectural Drafter,Brooklyn
https://newyork.craigslist.org/que/egr/d/farmingdale-construction-estimator-t/7130498890.html,Construction Estimator F/T,Farmingdale
https://newyork.craigslist.org/mnh/egr/d/cad-drafter/7129325001.html,CAD drafter,TriBeCa
https://newyork.craigslist.org/que/egr/d/long-island-city-looking-for-engineers/7128761769.html,Looking for Engineers and Drafters,
https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/7128688059.html,HVAC Drafter,
https://newyork.craigslist.org/que/egr/d/astoria-part-time-estimator-needed/7128462486.html,Part Time Estimator Needed- Building Envelope,Queens
https://newyork.craigslist.org/brk/egr/d/brooklyn-seeking-experienced-interior/7128075706.html,Seeking Experienced Interior Designer for Single-Family Residence,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-job-position-of-architectural/7127865359.html,Job position of Architectural Designer,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-for-high-end/7127863639.html,Architect for High End Residential Firm,Chelsea
https://newyork.craigslist.org/brk/egr/d/brooklyn-landscape-design-and-sales/7127692789.html,Landscape design and sales,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-cleaning-technician-site/7127002735.html,Cleaning Technician (Site Manager),Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer/7126802021.html,Structural Engineer,"Brooklyn, NY"
https://newyork.craigslist.org/que/egr/d/cad-draftsman-estimator/7126701887.html,CAD Draftsman/Estimator,NYC
https://newyork.craigslist.org/que/egr/d/construction-estimator-project-manager/7126701363.html,Construction Estimator/Project Manager,NYC
https://newyork.craigslist.org/wch/egr/d/mount-vernon-assistant-project-manager/7125435573.html,Assistant Project Manager,Mt. Vernon
https://newyork.craigslist.org/que/egr/d/maspeth-looking-for-an-experienced/7124672371.html,Looking for an experienced Estimator for a Misc.  Architectural Metal,"Queens, NY"
https://newyork.craigslist.org/brk/egr/d/steel-detailer/7124451679.html,Steel Detailer,Queens
https://newjersey.craigslist.org/egr/d/greenwich-resident-project/7139483808.html,Resident Project Representative,
https://newjersey.craigslist.org/egr/d/picatinny-arsenal-immediate-openings/7131793532.html,Immediate Openings - Independent Insurance Inspector,
https://newjersey.craigslist.org/egr/d/west-orange-commercial-construction/7131676263.html,Commercial Construction Superintendent,
https://newjersey.craigslist.org/egr/d/hawthorne-architect/7130852534.html,Architect,
https://newjersey.craigslist.org/egr/d/bridgewater-licensed-waste-water/7128444344.html,Licensed Waste Water Treatment Operator,
https://newjersey.craigslist.org/egr/d/newark-construction-maintenance-project/7127288196.html,Construction/Maintenance Project Manager,
https://newjersey.craigslist.org/egr/d/denville-program-logic-control-plc/7125665600.html,Program Logic Control (PLC) Engineer,
https://jerseyshore.craigslist.org/egr/d/brick-architectural-designer/7138091364.html,Architectural Designer/Draftsperson wanted,
https://jerseyshore.craigslist.org/egr/d/fort-monmouth-design-engineer-stormwater/7135435979.html,Design Engineer/Stormwater,
https://jerseyshore.craigslist.org/egr/d/fort-monmouth-new-jersey-professional/7135421621.html,New Jersey Professional Land Surveyor,
https://jerseyshore.craigslist.org/egr/d/long-branch-estimating-purchasing-agent/7124803775.html,Estimating/Purchasing Agent for Builder,
https://cnj.craigslist.org/egr/d/lambertville-land-survey-technician/7140444424.html,Land Survey Technician,
https://cnj.craigslist.org/egr/d/lincoln-park-fire-sprinkler-system/7139865634.html,Fire Sprinkler System Designer,
https://cnj.craigslist.org/egr/d/mountainside-project-manager/7136198420.html,Project Manager,
https://cnj.craigslist.org/egr/d/mountainside-estimator/7136197945.html,Estimator,
https://cnj.craigslist.org/egr/d/allentown-paid-internship-20-hr/7136022899.html,PAID Internship - $20/Hr appointment with Bonus,
https://cnj.craigslist.org/egr/d/hopewell-drafts-person-3d-rendering/7134139597.html,DRAFTS PERSON . 3D RENDERING,
https://cnj.craigslist.org/egr/d/roselle-park-solar-energy-consultant/7133821164.html,SOLAR ENERGY CONSULTANT,
https://cnj.craigslist.org/egr/d/princeton-senior-interior-designer/7132032772.html,Senior Interior Designer,
https://cnj.craigslist.org/egr/d/south-plainfield-woodworking-autocad/7131411225.html,Woodworking Autocad shop drawings needed,
https://cnj.craigslist.org/egr/d/electrical-estimator-wanted-commercial/7130553421.html,Electrical Estimator Wanted (Commercial),
https://cnj.craigslist.org/egr/d/rocky-hill-residential-construction/7128582364.html,Residential Construction Estimator,
https://cnj.craigslist.org/egr/d/architect/7125046837.html,Architect,
https://longisland.craigslist.org/egr/d/east-quogue-architect-draftsperson/7140691204.html,Architect/draftsperson,
https://longisland.craigslist.org/egr/d/blue-point-cad-drafter/7140462807.html,CAD Drafter,
https://longisland.craigslist.org/egr/d/huntington-landscape-designer-sales/7138638898.html,Landscape Designer/Sales Person,
https://longisland.craigslist.org/egr/d/west-sayville-architectural-drafting/7138003019.html,Architectural Drafting,
https://longisland.craigslist.org/egr/d/baldwin-auto-mechanic/7136251029.html,Auto Mechanic,
https://longisland.craigslist.org/egr/d/westbury-construction-estimator/7135821836.html,Construction Estimator,
https://longisland.craigslist.org/egr/d/plainview-quality-control-technician/7135693054.html,Quality Control Technician/Inspector AD,
https://longisland.craigslist.org/egr/d/concrete-estimator-draftsman/7135312225.html,Concrete Estimator/Draftsman,
https://longisland.craigslist.org/egr/d/holbrook-deli-clerks-lombardi-gourmet/7134696690.html,"DELI CLERKS , Lombardi Gourmet Market",
https://longisland.craigslist.org/egr/d/architecture/7134165109.html,Architecture,
https://longisland.craigslist.org/egr/d/huntington-station-architectural-senior/7134084213.html,Architectural Senior Drafter/Job Captain,
https://longisland.craigslist.org/egr/d/plainview-estimator/7132002861.html,Estimator,
https://longisland.craigslist.org/egr/d/holbrook-assistant-project-manager/7131840586.html,Assistant Project Manager,
https://longisland.craigslist.org/egr/d/electrical-estimator/7131754997.html,Electrical Estimator,
https://longisland.craigslist.org/egr/d/nesconset-draftsman-architectural/7130856309.html,Draftsman: Architectural Millwork,
https://longisland.craigslist.org/egr/d/nesconset-cnc-programmer-operator/7130855226.html,CNC Programmer / Operator,
https://longisland.craigslist.org/egr/d/holbrook-deli-clerks-holbrook-gourmet/7130534558.html,"DELI CLERKS , Holbrook Gourmet Market",
https://longisland.craigslist.org/egr/d/woodbury-electrical-engineer-pe/7127424725.html,ELECTRICAL ENGINEER/PE,
https://longisland.craigslist.org/egr/d/architecture/7125057083.html,Architecture,
